pais1;Source;pais2;Target;valor_exportacion;;
FRA;France;DNK;Denmark;17859414.0;;
GBR;United Kingdom;DNK;Denmark;139177152.0;;
NLD;Netherlands;DNK;Denmark;20297518.0;;
NOR;Norway;DNK;Denmark;658076032.0;;
RUS;Russia Federation;DNK;Denmark;18018450.0;;
SWE;Sweden;DNK;Denmark;84818968.0;;
EST;Estonia;ECU;Ecuador;7707.0;;
VEN;Venezuela;ECU;Ecuador;4175.0;;
AGO;Angola;ESP;Spain;124000448.0;;
ARE;United Arab Emirates;ESP;Spain;793773.0;;
ARG;Argentina;ESP;Spain;1270.0;;
BRA;Brazil;ESP;Spain;4067094.0;;
CMR;Cameroon;ESP;Spain;42484636.0;;
COG;Congo;ESP;Spain;20153446.0;;
DZA;Algeria;ESP;Spain;592327488.0;;
ECU;Ecuador;ESP;Spain;5476680.0;;
EGY;Egypt;ESP;Spain;9236470.0;;
GAB;Gabon;ESP;Spain;42774244.0;;
GBR;United Kingdom;ESP;Spain;401180416.0;;
GNQ;Equatorial Guinea;ESP;Spain;318154368.0;;
IRN;Iran, Islamic Republic of;ESP;Spain;603029248.0;;
IRQ;Iraq;ESP;Spain;1020696128.0;;
ITA;Italy;ESP;Spain;8813514.0;;
KAZ;Kazakstan;ESP;Spain;14044360.0;;
LBY;Libyan Arab Jamahiriya;ESP;Spain;1403839360.0;;
MEX;Mexico;ESP;Spain;1134164224.0;;
NGA;Nigeria;ESP;Spain;2041561344.0;;
NLD;Netherlands;ESP;Spain;38284.0;;
PRT;Portugal;ESP;Spain;19582.0;;
RUS;Russia Federation;ESP;Spain;854210176.0;;
SAU;Saudi Arabia;ESP;Spain;1139525760.0;;
SYR;Syrian Arab Republic;ESP;Spain;122450760.0;;
TUN;Tunisia;ESP;Spain;148419504.0;;
TUR;Turkey;ESP;Spain;24374092.0;;
UKR;Ukraine;ESP;Spain;23298570.0;;
VEN;Venezuela;ESP;Spain;197780496.0;;
DEU;Germany;FIN;Finland;12017214.0;;
DNK;Denmark;FIN;Finland;435922464.0;;
GBR;United Kingdom;FIN;Finland;153960144.0;;
KAZ;Kazakstan;FIN;Finland;43776676.0;;
LVA;Latvia;FIN;Finland;14584175.0;;
NOR;Norway;FIN;Finland;497476448.0;;
POL;Poland;FIN;Finland;10721769.0;;
RUS;Russia Federation;FIN;Finland;698570176.0;;
USA;United States;FIN;Finland;9573.0;;
AGO;Angola;FRA;France;309660320.0;;
ARG;Argentina;FRA;France;7694817.0;;
AZE;Azerbaijan;FRA;France;134695824.0;;
BRA;Brazil;FRA;France;9662487.0;;
CHE;Switzerland;FRA;France;1643.0;;
CMR;Cameroon;FRA;France;47388508.0;;
COD;Congo, The Democratic Republic of ;FRA;France;9957871.0;;
COG;Congo;FRA;France;28559262.0;;
CUB;Cuba;FRA;France;2329342.0;;
DEU;Germany;FRA;France;14484417.0;;
DNK;Denmark;FRA;France;101788920.0;;
DZA;Algeria;FRA;France;759387904.0;;
EGY;Egypt;FRA;France;7447398.0;;
FIN;Finland;FRA;France;1971.0;;
GAB;Gabon;FRA;France;50287024.0;;
GEO;Georgia;FRA;France;17274744.0;;
IRL;Ireland;FRA;France;2079413.0;;
IRN;Iran, Islamic Republic of;FRA;France;995464768.0;;
IRQ;Iraq;FRA;France;1154337024.0;;
ITA;Italy;FRA;France;4041.0;;
KAZ;Kazakstan;FRA;France;337775328.0;;
KWT;Kuwait;FRA;France;254048864.0;;
LBY;Libyan Arab Jamahiriya;FRA;France;498656320.0;;
LUX;Luxembourg;FRA;France;1110.0;;
NGA;Nigeria;FRA;France;1028581952.0;;
NLD;Netherlands;FRA;France;6546.0;;
QAT;Qatar;FRA;France;11179679.0;;
RUS;Russia Federation;FRA;France;873340096.0;;
SDN;Sudan;FRA;France;15166901.0;;
SYR;Syrian Arab Republic;FRA;France;454613888.0;;
TKM;Turkmenistan;FRA;France;13278581.0;;
TUN;Tunisia;FRA;France;87074432.0;;
USA;United States;FRA;France;56921.0;;
VEN;Venezuela;FRA;France;49172616.0;;
ARE;United Arab Emirates;GBR;United Kingdom;23286.0;;
AZE;Azerbaijan;GBR;United Kingdom;3308011.0;;
CMR;Cameroon;GBR;United Kingdom;1076.0;;
DNK;Denmark;GBR;United Kingdom;219555456.0;;
DZA;Algeria;GBR;United Kingdom;473194080.0;;
EGY;Egypt;GBR;United Kingdom;176662320.0;;
ESP;Spain;GBR;United Kingdom;797160.0;;
FRA;France;GBR;United Kingdom;6275632.0;;
GAB;Gabon;GBR;United Kingdom;2301615.0;;
GEO;Georgia;GBR;United Kingdom;3889800.0;;
KAZ;Kazakstan;GBR;United Kingdom;77430880.0;;
LBY;Libyan Arab Jamahiriya;GBR;United Kingdom;18684788.0;;
LTU;Lithuania;GBR;United Kingdom;33981276.0;;
MEX;Mexico;GBR;United Kingdom;112579968.0;;
NAM;Namibia;GBR;United Kingdom;2425.0;;
NGA;Nigeria;GBR;United Kingdom;49650876.0;;
RUS;Russia Federation;GBR;United Kingdom;342074528.0;;
SAU;Saudi Arabia;GBR;United Kingdom;271009600.0;;
SYR;Syrian Arab Republic;GBR;United Kingdom;33213132.0;;
TKM;Turkmenistan;GBR;United Kingdom;2269536.0;;
TUN;Tunisia;GBR;United Kingdom;11223061.0;;
UKR;Ukraine;GBR;United Kingdom;2206612.0;;
VEN;Venezuela;GBR;United Kingdom;71590912.0;;
ZAF;South Africa;GBR;United Kingdom;2533.0;;
NGA;Nigeria;GIN;Guinea;5102618.0;;
SEN;Senegal;GIN;Guinea;425607.0;;
AZE;Azerbaijan;GRC;Greece;5614210.0;;
DEU;Germany;GRC;Greece;82592.0;;
DZA;Algeria;GRC;Greece;10204364.0;;
EGY;Egypt;GRC;Greece;59580016.0;;
IRN;Iran, Islamic Republic of;GRC;Greece;886784000.0;;
IRQ;Iraq;GRC;Greece;282935776.0;;
ISR;Israel;GRC;Greece;5774871.0;;
KAZ;Kazakstan;GRC;Greece;42262216.0;;
LBY;Libyan Arab Jamahiriya;GRC;Greece;208062304.0;;
RUS;Russia Federation;GRC;Greece;274059456.0;;
SAU;Saudi Arabia;GRC;Greece;784592320.0;;
USA;United States;GTM;Guatemala;23021.0;;
VEN;Venezuela;GTM;Guatemala;102748088.0;;
AUS;Australia;HKG;Hong Kong;1480500.0;;
GAB;Gabon;HKG;Hong Kong;11465390.0;;
IDN;Indonesia;HKG;Hong Kong;5693580.0;;
USA;United States;HKG;Hong Kong;17431.0;;
ARE;United Arab Emirates;IDN;Indonesia;9093277.0;;
AUS;Australia;IDN;Indonesia;13341.0;;
AZE;Azerbaijan;IDN;Indonesia;889134.0;;
BRN;Brunei Darussalam;IDN;Indonesia;14790884.0;;
CHN;China;IDN;Indonesia;193300720.0;;
IRN;Iran, Islamic Republic of;IDN;Indonesia;33328000.0;;
IRQ;Iraq;IDN;Indonesia;22416296.0;;
JPN;Japan;IDN;Indonesia;48963.0;;
MYS;Malaysia;IDN;Indonesia;258939088.0;;
NGA;Nigeria;IDN;Indonesia;466563360.0;;
PAK;Pakistan;IDN;Indonesia;56550456.0;;
RUS;Russia Federation;IDN;Indonesia;11488400.0;;
SAU;Saudi Arabia;IDN;Indonesia;733905216.0;;
SGP;Singapore;IDN;Indonesia;83437496.0;;
THA;Thailand;IDN;Indonesia;74266304.0;;
VNM;Vietnam;IDN;Indonesia;145475312.0;;
ARE;United Arab Emirates;IND;India;373983392.0;;
CHN;China;IND;India;50743828.0;;
EGY;Egypt;IND;India;131378176.0;;
GAB;Gabon;IND;India;9713922.0;;
GBR;United Kingdom;IND;India;317544896.0;;
IRN;Iran, Islamic Republic of;IND;India;326916736.0;;
IRQ;Iraq;IND;India;76042216.0;;
JPN;Japan;IND;India;70308.0;;
KWT;Kuwait;IND;India;398604128.0;;
MEX;Mexico;IND;India;36574848.0;;
MYS;Malaysia;IND;India;338865216.0;;
NGA;Nigeria;IND;India;1112716800.0;;
OMN;Oman;IND;India;32915206.0;;
PAN;Panama;IND;India;3575.0;;
QAT;Qatar;IND;India;72954576.0;;
SAU;Saudi Arabia;IND;India;749588288.0;;
USA;United States;IND;India;68459.0;;
VEN;Venezuela;IND;India;51475928.0;;
VNM;Vietnam;IND;India;10223495.0;;
YEM;Yemen;IND;India;207698800.0;;
ZAF;South Africa;IND;India;1344498.0;;
DNK;Denmark;IRL;Ireland;15880789.0;;
GBR;United Kingdom;IRL;Ireland;294888.0;;
NOR;Norway;IRL;Ireland;579281856.0;;
RUS;Russia Federation;IRL;Ireland;1761546.0;;
UKR;Ukraine;IRL;Ireland;6324698.0;;
DEU;Germany;IRN;Iran, Islamic Republic of;58243.0;;
KOR;Korea, Republic of;IRN;Iran, Islamic Republic of;2816.0;;
TKM;Turkmenistan;IRN;Iran, Islamic Republic of;7113670.0;;
AGO;Angola;ITA;Italy;12939734.0;;
AUS;Australia;ITA;Italy;283228.0;;
AZE;Azerbaijan;ITA;Italy;346606176.0;;
CHE;Switzerland;ITA;Italy;3200.0;;
CMR;Cameroon;ITA;Italy;365540096.0;;
COG;Congo;ITA;Italy;18684036.0;;
CUB;Cuba;ITA;Italy;5569957.0;;
CYP;Cyprus;ITA;Italy;3344462.0;;
DEU;Germany;ITA;Italy;221521.0;;
DZA;Algeria;ITA;Italy;243191200.0;;
EGY;Egypt;ITA;Italy;486979648.0;;
ESP;Spain;ITA;Italy;22441.0;;
FRA;France;ITA;Italy;8664671.0;;
GBR;United Kingdom;ITA;Italy;143906896.0;;
GEO;Georgia;ITA;Italy;67237568.0;;
IRN;Iran, Islamic Republic of;ITA;Italy;1971804160.0;;
IRQ;Iraq;ITA;Italy;1495601152.0;;
KAZ;Kazakstan;ITA;Italy;186346400.0;;
KWT;Kuwait;ITA;Italy;260088736.0;;
MEX;Mexico;ITA;Italy;40059440.0;;
MLT;Malta;ITA;Italy;5122651.0;;
NGA;Nigeria;ITA;Italy;241277648.0;;
NLD;Netherlands;ITA;Italy;38584924.0;;
NOR;Norway;ITA;Italy;352893312.0;;
SAU;Saudi Arabia;ITA;Italy;1473454848.0;;
SDN;Sudan;ITA;Italy;4623587.0;;
SYR;Syrian Arab Republic;ITA;Italy;375419104.0;;
TKM;Turkmenistan;ITA;Italy;1617177.0;;
TUN;Tunisia;ITA;Italy;73157688.0;;
UKR;Ukraine;ITA;Italy;7023316.0;;
USA;United States;ITA;Italy;1630421.0;;
VEN;Venezuela;ITA;Italy;14017416.0;;
AUS;Australia;JPN;Japan;634998144.0;;
BHR;Bahrain;JPN;Japan;8842237.0;;
BRN;Brunei Darussalam;JPN;Japan;300981056.0;;
CHN;China;JPN;Japan;1022676928.0;;
ECU;Ecuador;JPN;Japan;30160748.0;;
EGY;Egypt;JPN;Japan;37354096.0;;
IDN;Indonesia;JPN;Japan;1932404352.0;;
IRQ;Iraq;JPN;Japan;534064544.0;;
MEX;Mexico;JPN;Japan;307189472.0;;
MYS;Malaysia;JPN;Japan;275913280.0;;
NGA;Nigeria;JPN;Japan;131160504.0;;
NOR;Norway;JPN;Japan;34435060.0;;
NZL;New Zealand;JPN;Japan;20390830.0;;
OMN;Oman;JPN;Japan;1993130240.0;;
SDN;Sudan;JPN;Japan;172530672.0;;
THA;Thailand;JPN;Japan;12095990.0;;
USA;United States;JPN;Japan;182377248.0;;
VNM;Vietnam;JPN;Japan;477458112.0;;
YEM;Yemen;JPN;Japan;26573354.0;;
VNM;Vietnam;KHM;Cambodia;151628.0;;
AGO;Angola;KOR;Korea, Republic of;523032032.0;;
ATG;Antigua and Barbuda;KOR;Korea, Republic of;25199204.0;;
AUS;Australia;KOR;Korea, Republic of;770513984.0;;
BRN;Brunei Darussalam;KOR;Korea, Republic of;220436128.0;;
CHN;China;KOR;Korea, Republic of;113944528.0;;
COG;Congo;KOR;Korea, Republic of;431503776.0;;
ECU;Ecuador;KOR;Korea, Republic of;315946112.0;;
EGY;Egypt;KOR;Korea, Republic of;20080006.0;;
GAB;Gabon;KOR;Korea, Republic of;126061776.0;;
GIN;Guinea;KOR;Korea, Republic of;42146328.0;;
IDN;Indonesia;KOR;Korea, Republic of;963915840.0;;
IRN;Iran, Islamic Republic of;KOR;Korea, Republic of;1563993088.0;;
IRQ;Iraq;KOR;Korea, Republic of;415722336.0;;
KWT;Kuwait;KOR;Korea, Republic of;1414860672.0;;
MYS;Malaysia;KOR;Korea, Republic of;490918496.0;;
NER;Niger;KOR;Korea, Republic of;207293008.0;;
NGA;Nigeria;KOR;Korea, Republic of;95583544.0;;
NOR;Norway;KOR;Korea, Republic of;163063344.0;;
NZL;New Zealand;KOR;Korea, Republic of;10397657.0;;
OMN;Oman;KOR;Korea, Republic of;1090078592.0;;
PER;Peru;KOR;Korea, Republic of;69596560.0;;
QAT;Qatar;KOR;Korea, Republic of;1001573632.0;;
RUS;Russia Federation;KOR;Korea, Republic of;194184720.0;;
SDN;Sudan;KOR;Korea, Republic of;75049352.0;;
THA;Thailand;KOR;Korea, Republic of;8121248.0;;
USA;United States;KOR;Korea, Republic of;103561736.0;;
YEM;Yemen;KOR;Korea, Republic of;466736896.0;;
RUS;Russia Federation;LBN;Lebanon;29007204.0;;
CUB;Cuba;MEX;Mexico;7264045.0;;
USA;United States;MEX;Mexico;580256.0;;
ARE;United Arab Emirates;MYS;Malaysia;111989872.0;;
AUS;Australia;MYS;Malaysia;13128822.0;;
IDN;Indonesia;MYS;Malaysia;97414832.0;;
IRN;Iran, Islamic Republic of;MYS;Malaysia;24896416.0;;
JPN;Japan;MYS;Malaysia;2651.0;;
OMN;Oman;MYS;Malaysia;296644512.0;;
QAT;Qatar;MYS;Malaysia;26117662.0;;
SAU;Saudi Arabia;MYS;Malaysia;261902848.0;;
USA;United States;MYS;Malaysia;75623.0;;
VNM;Vietnam;MYS;Malaysia;167362448.0;;
